case,activity,resource,timestamp,Variant,Variant index,(case) IDofConceptCase,(case) Includes_subCases,responsibleactor,sumleges,(case) caseProcedure,casestatus,casetype,landregisterid,lastphase,parts,requestComplete,(case) termName,action_code,activityNameNL,concept:name,dateFinished,dateStop,dueDate,lifecycle:transition,monitoringResource,planned,question
3684042,enter senddate acknowledgement,560881,2011-08-08 00:00:00.000,Variant 82,82,,N,560872.0,,,G,557669,,Vergunning verleend,Kap,True,,01_HOOFD_030_2,invoeren verzenddatum ontvangstbevestiging,01_HOOFD_030_2,08/05/11 16:21,,2011-08-07T16:21:20+02:00,complete,560872,2011-08-06T16:21:20+02:00,EMPTY
5990611,OLO messaging active,560872,2012-10-22 10:35:18.000,Variant 3,3,5991172.0,J,560464.0,3523.0657,,O,557669,5225055.0,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_011,OLO berichtenverkeer actief,01_HOOFD_011,10/22/12 10:35,,,complete,3273854,2012-10-23T10:35:17+02:00,FALSE
3754056,enter senddate decision environmental permit,560872,2011-09-05 00:00:00.000,Variant 88,88,,N,560872.0,,,G,557669,719982.0,Vergunning verleend,Kap,True,,01_HOOFD_510_2,invoeren verzenddatum beschikking omgevingsvergunning,01_HOOFD_510_2,08/29/11 16:41,,,complete,560872,2011-08-30T16:40:57+02:00,EMPTY
11907102,phase advice known,11744364,2014-12-03 00:00:00.000,Variant 9,9,,,560912.0,2980.494,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_375,fase advies bekend,01_HOOFD_375,12/03/14 00:00,,,complete,2670601,2014-12-04T15:08:26+01:00,EMPTY
6441282,suspension ground applicable,2670601,2013-01-23 17:12:10.000,Variant 907,907,,J,4901428.0,0.0,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,11_AH_II_010,aanhoudingsgrond van toepassing,11_AH_II_010,01/23/13 17:12,,,complete,2670601,2013-01-24T17:12:09+01:00,FALSE
8539501,generating decision environmental permit,560890,2013-10-29 00:00:00.000,Variant 1037,1037,8539642.0,J,4901428.0,284.89185,,G,557669,,Beschikking verzonden,Aanleg (Uitvoeren werk of werkzaamheid),True,Termijn bezwaar en beroep 1,01_HOOFD_490_4,genereren beschikking omgevingsvergunning,01_HOOFD_490_4,10/29/13 00:00,,,complete,2670601,2013-10-30T13:07:03+01:00,EMPTY
11248492,phase additional information received,560872,2014-11-06 00:00:00.000,Variant 253,253,11248634.0,,4901428.0,,,G,557669,,Buiten behandeling gelaten,"Milieu (omgevingsvergunning beperkte milieutoets),Bouw",False,Termijn tot besluit,08_AWB45_045,fase aanvullende gegevens ontvangen,08_AWB45_045,11/06/14 00:00,,,complete,4936828,2014-11-07T14:07:36+01:00,EMPTY
3755625,assessment of content completed,560872,2011-08-29 10:53:02.000,Variant 90,90,,N,560872.0,,,G,557669,3756008.0,Vergunning verleend,Kap,True,,01_HOOFD_370,inhoudelijke beoordeling afgerond,01_HOOFD_370,08/29/11 10:56,,,complete,560872,2011-08-30T10:52:59+02:00,EMPTY
4317392,generate publication document decision environmental permit,560890,2012-01-20 10:26:54.000,Variant 673,673,4318875.0,J,4901428.0,1691.7661,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_520,genereren publicatiedocument beschikking omgevingsvergunning,01_HOOFD_520,01/20/12 10:27,,,complete,560890,2012-01-21T10:26:53+01:00,EMPTY
3168727,generating decision environmental permit,560890,2011-03-22 12:20:09.000,Variant 418,418,3168748.0,J,4901428.0,1316.3613,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_490_2,genereren beschikking omgevingsvergunning,01_HOOFD_490_2,03/22/11 12:35,,,complete,560872,2011-03-17T17:16:29+01:00,EMPTY
8046675,send letter in progress,2670601,2013-10-15 00:00:00.000,Variant 1011,1011,,J,4901428.0,284.89185,,O,557669,,Beschikking verzonden,Aanleg (Uitvoeren werk of werkzaamheid),False,Termijn bezwaar en beroep 1,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,10/15/13 00:00,,,complete,560890,2013-10-16T14:29:02+02:00,FALSE
6436945,phase asked additional information,2670601,2013-02-20 14:25:34.000,Variant 906,906,6437086.0,J,560464.0,16338.883,,O,557669,6436944.0,Beschikking verzonden,"Bouw,Handelen in strijd met regels RO",False,Termijn bezwaar en beroep 1,08_AWB45_025,fase aanvullende gegevens gevraagd,08_AWB45_025,03/01/13 10:13,,,complete,2670601,2013-02-21T14:25:34+01:00,EMPTY
